conversation_id	turn_id	id	query	original
91	2	91_2	What is different compared to previous legislation?	What is different compared to GDPR legislation?
91	3	91_3	What are the privacy implications of those technologies?	What are the privacy implications of GDPR technologies?
91	4	91_4	Oh, IP addresses are considered PII? What is the full range of personal data?	What is the full range of personal data in GDPR?
91	5	91_5	How do big companies adapt to GDPR?	How do big companies adapt to GDPR?
91	6	91_6	OK. Tell me about the privacy issues in social networks.	Tell me about the privacy issues in social networks.
91	7	91_7	What do they get in return for their privacy?	What do social networks get in return for their privacy?
91	8	91_8	What are the symptoms of that addiction?	What are the symptoms of that addiction?
92	1	92_1	Do shoulder braces help recover from an injury?	Do shoulder braces help recover from an injury?
92	2	92_2	Tell me more about some exercises that could help.	Tell me more about some exercises that could help shoulder braces recover from an injury.
92	3	92_3	What are some others?	What are some other exercises that could help shoulder braces recover from an injury?
92	4	92_4	How do I know if it's serious?	How do I know if shoulder braces are serious?
92	5	92_5	When should you consider surgery?	When should you consider surgery?
92	6	92_6	That seems extreme. What are other ways to treat the pain?	What are other ways to treat the shoulder pain?
92	7	92_7	How do I stop it from hurting at my desk?	How do I stop shoulder pain from hurting at my desk?
92	8	92_8	What are the benefits of a standing one?	What are the benefits of a standing shoulder?
93	1	93_1	Tell me about purchasing a Burger King franchise.	Tell me about purchasing a Burger King franchise.
93	2	93_2	No, not information about its acquisition. I want to know how to open a franchise.	I want to know how to open a Burger King franchise.
93	3	93_3	Is there any financial support for the fee?	Is there any financial support for the Burger King franchise fee?
93	4	93_4	How much does an owner typically make?	How much does an owner typically make in Burger King?
93	5	93_5	Is it better to be a franchise or independent?	Is Burger King better to be a franchise or independent?
93	6	93_6	What support does it provide?	What support does Burger King provide?
93	7	93_7	OK let's do it. What is the process?	What is the process of Burger King franchise or independent?
94	1	94_1	How did snowboarding begin?	How did snowboarding begin?
94	2	94_2	Interesting. That's later than I expected. Who were the winners?	Who were the winners of the snowboarding contest?
94	3	94_3	What are strap-in bindings?	What are strap-in bindings?
94	4	94_4	What's an alternative to this binding style?	What's an alternative to this binding style?
94	5	94_5	What else do I need for my first time?	What else do I need for my first time snowboarding?
94	6	94_6	How can I teach myself to get started?	How can I teach myself to get started in snowboarding?
94	7	94_7	What are the best slopes in Seattle?	What are the best slopes in Seattle?
94	8	94_8	What are other things to do at Bachelor?	What are other things to do at Bachelor?
95	1	95_1	How are waste and garbage processed?	How are waste and garbage processed?
95	2	95_2	Interesting. What is the impact of burning on the environment?	What is the impact of burning on the environment?
95	3	95_3	So you can compact them; why does it slow the waste processing?	So you can compact waste and garbage; why does the burning of waste slow the waste processing?
95	4	95_4	How is sewage recycled?	How is sewage recycled?
95	5	95_5	What are the pros and cons of recycling vs composting?	What are the pros and cons of recycling vs composting?
95	6	95_6	Tell me more about biodegradable plastics.	Tell me more about biodegradable plastics.
95	7	95_7	How are they made?	How are biodegradable plastics made?
95	8	95_8	How is corn oil used?	How is corn oil used?
96	1	96_1	How do you make Japanese Yakiniku?	How do you make Japanese Yakiniku?
96	2	96_2	Can the sauce be used in other dishes?	Can the sauce be used in other dishes?
96	3	96_3	What are the best Yakiniku restaurants in Tokyo?	What are the best Yakiniku restaurants in Tokyo?
96	4	96_4	Tell me about three star Michelin sushi restaurants there.	Tell me about three star Michelin sushi restaurants in Tokyo.
96	5	96_5	Oh you need an agent to make reservations?	Oh you need an agent to make reservations at Michelin sushi restaurants?
96	6	96_6	Tell me other fun things to do there.	Tell me other fun things to do at Michelin sushi restaurants in Tokyo.
96	7	96_7	What is the cost of living there compared to NYC?	What is the cost of living in Tokyo compared to NYC?
96	8	96_8	What is the salary of foreign law firms there?	What is the salary of foreign law firms in Tokyo?
97	1	97_1	Who are the rivals of the Steelers?	Who are the rivals of the Steelers?
97	2	97_2	What are notable games between Ravens versus Steelers?	What are notable games between Ravens and Steelers?
97	3	97_3	And notable moments in their rivalry?	And notable moments in Ravens' rivalry?
97	4	97_4	Tell me more about that Polamalu's interception.	Tell me more about Polamalu's interception.
97	5	97_5	How about his pick-6?	How about Polamalu's pick-6?
97	6	97_6	Tell me more about the immaculate reception.	Tell me more about the immaculate reception of Polamalu's pick-6.
97	7	97_7	What happened to the stadium?	What happened to the Steelers stadium?
97	8	97_8	Tell me more about their defense.	Tell me more about the Steelers' defense.
98	1	98_1	What is the environmental cost of food production?	What is the environmental cost of food production?
98	2	98_2	Oh that much water? How is that for meat?	How is that for meat?
98	3	98_3	How much less is used for vegetables?	How much water is used for vegetables?
98	4	98_4	What are the benefits of being vegetarian?	What are the benefits of being vegetarian?
98	5	98_5	Are there any health concerns?	Are there any health concerns about vegetarianism?
98	6	98_6	What are their sources of proteins?	What are vegetarian proteins sources of proteins?
98	7	98_7	Oh almonds? Can you show me recipes with it?	Can you show me recipes with almonds?
98	8	98_8	How do you make the flour?	How do you make the almond flour?
99	1	99_1	What is high blood carbon dioxide?	What is high blood carbon dioxide?
99	2	99_2	What should you do to treat it?	What should you do to treat blood carbon dioxide?
99	3	99_3	How about high cholesterol?	How about high cholesterol?
99	4	99_4	What should I eat to improve it?	What should I eat to improve cholesterol?
99	5	99_5	What are the differences between the two fats?	What are the differences between the two fats?
99	6	99_6	So, there are two types.  Is the other fat good for you?	Is the other fat good for you?
99	7	99_7	Oh I like fish.  What other foods are good sources?	What other foods are good sources of fish?
99	8	99_8	What types does olive oil contain?	What types of olive oil does olive oil contain?
100	1	100_1	What causes my teeth to chip off?	What causes my teeth to chip off?
100	2	100_2	Oh, what can they do to fix it?	What can teeth chip off?
100	3	100_3	I have a larger chip, how do the options different?	I have a larger chip, how do the options different in my teeth?
100	4	100_4	A crown sounds better. What about using an implant?	What about using an implant?
100	5	100_5	Which one is more expensive?	Which one is more expensive?
100	6	100_6	What is the coverage of the crown in insurance?	What is the coverage of the crown in insurance?
100	7	100_7	I meant medicare	I meant medicare.
100	8	100_8	Show me covered dentists in Seattle	Show me covered dentists in Seattle in medicare?
101	1	101_1	What is Melania Trump's religion?	What is Melania Trump's religion?
101	2	101_2	What did she do before she was married?	What did Melania Trump do before she was married?
101	3	101_3	Does she have children?	Does Melania Trump have children?
101	4	101_4	How old is he?	How old is Melania Trump?
101	5	101_5	They met at the Kit Kat Club?  Where is that?	Where is Melania Trump's Kit Kat Club?
101	6	101_6	When did she become a model?	When did Melania Trump become a model?
101	7	101_7	Do we pay the First Lady?	Do we pay the First Lady Melania?
101	8	101_8	What about Ivanka?	What about Ivanka Trump?
101	9	101_9	And Jared?	And Jared?
101	10	101_10	What does he do at the White House?	What does Ivanka Trump do at the White House?
102	1	102_1	When did social security start in the US?	When did social security start in the US?
102	2	102_2	Was it mandatory?	Was social security mandatory?
102	3	102_3	Who received the first check?	Who received the first check of social security?
102	4	102_4	When did the government start borrowing from it?	When did the government start borrowing from social security?
102	5	102_5	How much is owed?	How much is owed?
102	6	102_6	When will it run out of money?	When will social security run out of money?
102	7	102_7	Wow! What will happen?	What will happen to social security?
102	8	102_8	Can it be fixed?	Can social security run out of money?
102	9	102_9	How much of an increase?	How much of an increase in social security?
103	1	103_1	Why were the Dead such an influential live band?	Why were the Dead such an influential live band?
103	2	103_2	Why did they allow live recordings?	Why did the Dead allow live recordings?
103	3	103_3	Did they have a #1 hit?	Did the Dead have a #1 hit?
103	4	103_4	Who was the leader?	Who was the leader of the Dead?
103	5	103_5	How did he lose his finger?	How did the Dead lose their finger?
103	6	103_6	What was his relationship to the Airplane?	What was the relationship between the Dead and the Airplane?
103	7	103_7	Is Cassidy about Jack Casady?	Is Cassidy about Jack Casady?
103	8	103_8	Who wrote it?	Who wrote the Dead's Dead?
103	9	103_9	What else did they write?	What else did the Dead write?
103	10	103_10	Why did the band break up?	Why did the Dead break up?
104	1	104_1	Who are some of the well-known Information Retrieval researchers?	Who are some of the well-known Information Retrieval researchers?
104	2	104_2	What did he work on?	What did Information Retrieval researcher Michael R. R. R. work on?
104	3	104_3	Who are some important British ones?	Who are some important British researchers?
104	4	104_4	What did his studies contribute to evaluation?	What did the Information Retrieval study contribute to evaluation?
104	5	104_5	What are some criticisms of the experiments?	What are some criticisms of the Information Retrieval experiments?
104	6	104_6	How did they influence modern initiatives?	How did the experiments influence modern initiatives?
104	7	104_7	What is TREC?	What is TREC?
104	8	104_8	What are some recent tasks?	What are some recent tasks in TREC?
104	9	104_9	e-Discovery?  What's that?	What's that?
104	10	104_10	What are the important components of a test collection?	What are the important components of a test collection?
104	11	104_11	What about benchmarks for music?	What about benchmarks for music in a test collection?
104	12	104_12	What are important measures for web search engines?	What are important measures for web search engines?
104	13	104_13	What about online ones?	What are important measures for web search engines?
105	1	105_1	When did the Black Lives Matter campaign begin?	When did the Black Lives Matter campaign begin?
105	2	105_2	Tell me more about what happened.	Tell me more about what happened.
105	3	105_3	Why was he acquitted?	Why was the Black Lives Matter campaign acquitted?
105	4	105_4	And how about what happened to Brown?	How about what happened to Brown?
105	5	105_5	Who named the movement?	Who named the Black Lives Matter movement?
105	6	105_6	What was the US reaction to it?	What was the US reaction to the Black Lives Matter movement?
105	7	105_7	Tell me more about the movement of the police supporters.	Tell me more about the movement of the police supporters of the Black Lives Matter movement.
105	8	105_8	Why were they killed?	Why were the Black Lives Matter movement killed?
105	9	105_9	What else motivates the Black Lives Matter movement?	What else motivates the Black Lives Matter movement?
